id,label,label_text,text,lang,language
1,alarm_set,alarm_set,星期五早上九点叫醒我,zh-CN,zh-CN
2,alarm_set,alarm_set,设个两小时后的闹钟,zh-CN,zh-CN
4,audio_volume_mute,audio_volume_mute,olly 安静,zh-CN,zh-CN
5,audio_volume_mute,audio_volume_mute,停止,zh-CN,zh-CN
6,audio_volume_mute,audio_volume_mute,欧丽暂停十秒,zh-CN,zh-CN
7,audio_volume_mute,audio_volume_mute,暂停十秒钟,zh-CN,zh-CN
9,iot_hue_lightchange,iot_hue_lightchange,让这里的灯光更加温暖一点,zh-CN,zh-CN
10,iot_hue_lightchange,iot_hue_lightchange,请设置适合阅读的灯光,zh-CN,zh-CN
12,iot_hue_lightoff,iot_hue_lightoff,是时候睡觉了,zh-CN,zh-CN
13,iot_hue_lightoff,iot_hue_lightoff,是时候睡觉了 olly,zh-CN,zh-CN
15,iot_hue_lightoff,iot_hue_lightoff,关掉浴室的灯,zh-CN,zh-CN
16,iot_hue_lightdim,iot_hue_lightdim,olly 把大厅里的灯调暗,zh-CN,zh-CN
18,iot_hue_lightoff,iot_hue_lightoff,关掉卧室的灯,zh-CN,zh-CN
20,iot_hue_lightchange,iot_hue_lightchange,设置灯为百分之二十,zh-CN,zh-CN
21,iot_hue_lightchange,iot_hue_lightchange,olly 把灯光调到两成,zh-CN,zh-CN
22,iot_hue_lightdim,iot_hue_lightdim,小度变暗厨房灯光,zh-CN,zh-CN
23,iot_hue_lightdim,iot_hue_lightdim,调暗厨房灯,zh-CN,zh-CN
25,iot_cleaning,iot_cleaning,olly 打扫公寓,zh-CN,zh-CN
28,iot_cleaning,iot_cleaning,给房子吸尘,zh-CN,zh-CN
29,iot_cleaning,iot_cleaning,小度把房子用吸尘器吸干净,zh-CN,zh-CN
32,iot_cleaning,iot_cleaning,地毯,zh-CN,zh-CN
33,calendar_query,calendar_query,看一下演出什么时候开始,zh-CN,zh-CN
34,play_music,play_music,我想再听一次周杰伦的歌,zh-CN,zh-CN
35,play_music,play_music,我想再次播放那首音乐,zh-CN,zh-CN
36,general_quirky,general_quirky,确认一下我的车准备好了吗,zh-CN,zh-CN
37,general_quirky,general_quirky,检查我的笔记本在工作吗,zh-CN,zh-CN
38,general_quirky,general_quirky,我的屏幕的亮度降低了嗎,zh-CN,zh-CN
39,general_quirky,general_quirky,我需要打开定位服务你能查一下吗,zh-CN,zh-CN
40,general_quirky,general_quirky,检查我的电量使用状态,zh-CN,zh-CN
43,general_quirky,general_quirky,我不累我真的很开心,zh-CN,zh-CN
44,general_quirky,general_quirky,小度我不累我真的很开心,zh-CN,zh-CN
45,general_greet,general_greet,最近怎样,zh-CN,zh-CN
48,datetime_query,datetime_query,告诉我莫斯科时间,zh-CN,zh-CN
49,datetime_convert,datetime_convert,告诉我格林威治时间加五是几点,zh-CN,zh-CN
51,takeaway_query,takeaway_query,欧丽列出所有评分高的中式外送,zh-CN,zh-CN
52,takeaway_query,takeaway_query,评分最高的中餐外送,zh-CN,zh-CN
54,takeaway_query,takeaway_query,olly 评分最高的中餐外送,zh-CN,zh-CN
55,takeaway_query,takeaway_query,我想要吃一些咖喱有什么推荐吗,zh-CN,zh-CN
56,takeaway_query,takeaway_query,天猫精灵如果有任何推荐的话我想吃点咖喱,zh-CN,zh-CN
57,takeaway_query,takeaway_query,在三源里菜市场附近找我的泰国菜外卖,zh-CN,zh-CN
60,alarm_remove,alarm_remove,停止七点的闹钟,zh-CN,zh-CN
62,alarm_query,alarm_query,列出有效闹钟,zh-CN,zh-CN
65,news_query,news_query,今天有什么关于足球的消息吗,zh-CN,zh-CN
66,play_music,play_music,请播放飞轮海的只对你有感觉,zh-CN,zh-CN
69,music_likeness,music_likeness,我喜欢摇滚音乐,zh-CN,zh-CN
70,music_likeness,music_likeness,告五人我的最喜爱音乐乐队,zh-CN,zh-CN
72,play_music,play_music,开始播放收藏夹中的音乐,zh-CN,zh-CN
73,play_music,play_music,请播放我最好的音乐,zh-CN,zh-CN
75,music_query,music_query,谁是当前音乐的作者,zh-CN,zh-CN
76,music_query,music_query,这张专辑的流行音乐来自哪里,zh-CN,zh-CN
77,music_likeness,music_likeness,olly 我喜欢这歌曲,zh-CN,zh-CN
78,music_likeness,music_likeness,你正播放的歌曲太棒了,zh-CN,zh-CN
79,music_likeness,music_likeness,这是最适合我的歌曲之一,zh-CN,zh-CN
81,iot_hue_lightup,iot_hue_lightup,让灯更亮,zh-CN,zh-CN
82,iot_hue_lightup,iot_hue_lightup,请调亮灯到最大,zh-CN,zh-CN
83,iot_cleaning,iot_cleaning,启动扫地机器人,zh-CN,zh-CN
84,iot_cleaning,iot_cleaning,启动扫地机器人,zh-CN,zh-CN
87,takeaway_order,takeaway_order,请为晚餐订一些寿司,zh-CN,zh-CN
88,takeaway_order,takeaway_order,我想你下单汉堡包,zh-CN,zh-CN
91,takeaway_order,takeaway_order,我能从萨莉亚意式餐厅点外卖当晚餐吗,zh-CN,zh-CN
92,takeaway_query,takeaway_query,拜伦有外卖吗,zh-CN,zh-CN
93,alarm_set,alarm_set,定个十二点的闹钟,zh-CN,zh-CN
94,alarm_set,alarm_set,设置一个四十分钟后的闹钟,zh-CN,zh-CN
95,alarm_set,alarm_set,设个每个工作日八点的闹钟,zh-CN,zh-CN
96,weather_query,weather_query,下雨了吗,zh-CN,zh-CN
97,weather_query,weather_query,要下雨了嘛,zh-CN,zh-CN
98,weather_query,weather_query,正在下雪吗,zh-CN,zh-CN
101,weather_query,weather_query,这周的天气如何,zh-CN,zh-CN
104,news_query,news_query,告诉我环球时报的新闻,zh-CN,zh-CN
105,news_query,news_query,中国新闻网有什么新闻,zh-CN,zh-CN
106,news_query,news_query,呼市新闻的最新新聞是什么,zh-CN,zh-CN
108,play_music,play_music,播放一首我喜欢的歌曲,zh-CN,zh-CN
110,play_music,play_music,播放五月天,zh-CN,zh-CN
111,play_music,play_music,放一些五月天的音乐,zh-CN,zh-CN
114,music_settings,music_settings,随机播放此播放列表,zh-CN,zh-CN
116,music_query,music_query,正在播放什么,zh-CN,zh-CN
117,music_query,music_query,这是什么音乐,zh-CN,zh-CN
118,music_query,music_query,告诉我谁是这首歌的歌手,zh-CN,zh-CN
119,general_joke,general_joke,让我笑,zh-CN,zh-CN
120,general_joke,general_joke,olly 让我笑,zh-CN,zh-CN
121,general_joke,general_joke,给我讲一个有趣的笑话,zh-CN,zh-CN
123,general_joke,general_joke,给我讲个笑话,zh-CN,zh-CN
125,general_joke,general_joke,alexa 给我讲个笑话,zh-CN,zh-CN
126,general_joke,general_joke,鼓励一下我,zh-CN,zh-CN
129,general_quirky,general_quirky,告诉我今天的情况,zh-CN,zh-CN
130,takeaway_order,takeaway_order,下单比萨,zh-CN,zh-CN
131,takeaway_order,takeaway_order,从美团外卖点比萨,zh-CN,zh-CN
133,takeaway_query,takeaway_query,我的订单什么时候到,zh-CN,zh-CN
134,takeaway_query,takeaway_query,我的外卖还有多久,zh-CN,zh-CN
135,takeaway_query,takeaway_query,多米诺的运送情况,zh-CN,zh-CN
136,music_query,music_query,正在播放什么,zh-CN,zh-CN
137,music_query,music_query,告诉我歌名,zh-CN,zh-CN
139,play_music,play_music,播放我的爵士乐播放列表,zh-CN,zh-CN
140,play_music,play_music,开始我的爵士乐播放列表,zh-CN,zh-CN
141,play_music,play_music,播放我的最愛播放列表,zh-CN,zh-CN
142,music_likeness,music_likeness,那是一首好歌,zh-CN,zh-CN
143,music_dislikeness,music_dislikeness,我不喜欢这个,zh-CN,zh-CN
144,music_likeness,music_likeness,我喜欢它,zh-CN,zh-CN
145,music_likeness,music_likeness,我喜欢爵士乐,zh-CN,zh-CN
146,play_music,play_music,你能播放一些爵士乐吗,zh-CN,zh-CN
149,music_likeness,music_likeness,这首歌非常好,zh-CN,zh-CN
152,audio_volume_other,audio_volume_other,改变音量,zh-CN,zh-CN
153,music_settings,music_settings,启用随机播放,zh-CN,zh-CN
154,music_settings,music_settings,保存设置,zh-CN,zh-CN
155,iot_hue_lightchange,iot_hue_lightchange,将亮度设置到五成,zh-CN,zh-CN
156,iot_hue_lightdim,iot_hue_lightdim,调低亮度,zh-CN,zh-CN
157,iot_hue_lightdim,iot_hue_lightdim,降低亮度,zh-CN,zh-CN
159,iot_hue_lightdim,iot_hue_lightdim,降低亮度,zh-CN,zh-CN
160,iot_hue_lightdim,iot_hue_lightdim,把灯光调暗,zh-CN,zh-CN
161,iot_hue_lightdim,iot_hue_lightdim,小度调暗灯光,zh-CN,zh-CN
162,iot_coffee,iot_coffee,煮一杯咖啡给我,zh-CN,zh-CN
163,iot_coffee,iot_coffee,olly 给我泡杯咖啡,zh-CN,zh-CN
164,iot_coffee,iot_coffee,我需要一杯咖啡,zh-CN,zh-CN
165,iot_coffee,iot_coffee,我现在想喝点咖啡,zh-CN,zh-CN
166,general_greet,general_greet,你好,zh-CN,zh-CN
172,alarm_set,alarm_set,定个十点闹钟,zh-CN,zh-CN
175,news_query,news_query,告诉我最新的科技消息,zh-CN,zh-CN
176,news_query,news_query,告诉我最新的科技消息,zh-CN,zh-CN
179,weather_query,weather_query,告诉我天气如何,zh-CN,zh-CN
180,weather_query,weather_query,现在的天气如何,zh-CN,zh-CN
181,weather_query,weather_query,现在下雨了吗,zh-CN,zh-CN
183,play_music,play_music,打开我的周杰伦歌单,zh-CN,zh-CN
184,play_music,play_music,从我的播放列表播放陈奕迅的歌,zh-CN,zh-CN
186,play_music,play_music,最后一首,zh-CN,zh-CN
187,audio_volume_up,audio_volume_up,调高音量,zh-CN,zh-CN
190,iot_wemo_on,iot_wemo_on,开启智能插座,zh-CN,zh-CN
191,iot_wemo_on,iot_wemo_on,打开插头,zh-CN,zh-CN
192,iot_wemo_on,iot_wemo_on,开启我的智能插座,zh-CN,zh-CN
193,general_joke,general_joke,给我讲些笑话把,zh-CN,zh-CN
194,general_joke,general_joke,你知道哪些笑话,zh-CN,zh-CN
195,datetime_query,datetime_query,几点,zh-CN,zh-CN
196,datetime_query,datetime_query,告诉我现在几点,zh-CN,zh-CN
198,takeaway_query,takeaway_query,必胜客做外卖吗,zh-CN,zh-CN
199,takeaway_query,takeaway_query,我最喜欢的比萨可以点外卖吗,zh-CN,zh-CN
200,takeaway_order,takeaway_order,外带西班牙的,zh-CN,zh-CN
202,alarm_remove,alarm_remove,取消闹钟,zh-CN,zh-CN
203,alarm_query,alarm_query,给我查一下设了哪些闹钟,zh-CN,zh-CN
204,alarm_query,alarm_query,我有设任何闹钟吗,zh-CN,zh-CN
205,alarm_query,alarm_query,显示闹钟,zh-CN,zh-CN
206,weather_query,weather_query,北京天气咋样啊,zh-CN,zh-CN
207,weather_query,weather_query,告诉我上海的天气情况,zh-CN,zh-CN
209,iot_hue_lightchange,iot_hue_lightchange,调整光线为适合阅读,zh-CN,zh-CN
210,iot_hue_lightchange,iot_hue_lightchange,请调整灯光有利于观看,zh-CN,zh-CN
211,iot_hue_lightup,iot_hue_lightup,使得房间更明亮,zh-CN,zh-CN
212,iot_hue_lighton,iot_hue_lighton,开灯,zh-CN,zh-CN
213,datetime_query,datetime_query,今天几月几号,zh-CN,zh-CN
214,datetime_query,datetime_query,今天是周几,zh-CN,zh-CN
215,datetime_query,datetime_query,告诉我日期,zh-CN,zh-CN
218,weather_query,weather_query,小爱下雨,zh-CN,zh-CN
221,iot_hue_lightchange,iot_hue_lightchange,把灯光改成绿色,zh-CN,zh-CN
222,music_likeness,music_likeness,把这首歌加到我的最爱列表中,zh-CN,zh-CN
223,music_query,music_query,这首歌曲叫什么,zh-CN,zh-CN
224,iot_hue_lightoff,iot_hue_lightoff,olly 关灯,zh-CN,zh-CN
225,iot_hue_lightoff,iot_hue_lightoff,关灯,zh-CN,zh-CN
226,iot_cleaning,iot_cleaning,请打扫地板,zh-CN,zh-CN
227,iot_wemo_on,iot_wemo_on,打开电饭煲插座,zh-CN,zh-CN
228,iot_wemo_off,iot_wemo_off,关掉电饭煲的插座,zh-CN,zh-CN
231,takeaway_order,takeaway_order,你能帮我从戶戶送订一些寿司吗,zh-CN,zh-CN
233,alarm_set,alarm_set,设个下午四点的闹钟,zh-CN,zh-CN
234,alarm_set,alarm_set,olly 下午三点提醒我去音乐会,zh-CN,zh-CN
235,alarm_set,alarm_set,提醒我下午三点去音乐会,zh-CN,zh-CN
236,alarm_query,alarm_query,早上航班我设闹钟了吗,zh-CN,zh-CN
238,alarm_query,alarm_query,定过闹铃吗,zh-CN,zh-CN
239,weather_query,weather_query,郑州下雨了吗,zh-CN,zh-CN
240,weather_query,weather_query,今天下雨吗,zh-CN,zh-CN
241,weather_query,weather_query,外面怎么样,zh-CN,zh-CN
243,news_query,news_query,世界上到底发生了什么,zh-CN,zh-CN
244,news_query,news_query,佛山发生了什么,zh-CN,zh-CN
245,news_query,news_query,给我展示一些来自腾讯新闻的消息,zh-CN,zh-CN
246,news_query,news_query,展示一些今日头条的新闻,zh-CN,zh-CN
247,news_query,news_query,播放中国日报网新闻,zh-CN,zh-CN
248,news_query,news_query,黑客新闻,zh-CN,zh-CN
249,play_music,play_music,给我播放一些嘻哈音乐,zh-CN,zh-CN
252,play_music,play_music,现在播放死亡金屬音樂,zh-CN,zh-CN
255,music_query,music_query,下班后我通常喜欢听什么音乐,zh-CN,zh-CN
257,play_music,play_music,olly 播放我最喜欢的钢琴家的音乐,zh-CN,zh-CN
259,audio_volume_down,audio_volume_down,你太大声了,zh-CN,zh-CN
260,audio_volume_up,audio_volume_up,欧丽我几乎听不见你说的,zh-CN,zh-CN
262,iot_hue_lightchange,iot_hue_lightchange,把灯调成蓝色,zh-CN,zh-CN
264,iot_hue_lightchange,iot_hue_lightchange,让灯发出蓝色的灯光,zh-CN,zh-CN
265,iot_hue_lightoff,iot_hue_lightoff,olly 晚安熄灯,zh-CN,zh-CN
267,iot_hue_lighton,iot_hue_lighton,这里太黑了,zh-CN,zh-CN
268,iot_hue_lightup,iot_hue_lightup,让灯光更亮,zh-CN,zh-CN
269,iot_hue_lighton,iot_hue_lighton,小度这里太暗了我都看不见我的手了,zh-CN,zh-CN
270,datetime_query,datetime_query,现在几点,zh-CN,zh-CN
273,music_query,music_query,那首歌是什么,zh-CN,zh-CN
274,music_query,music_query,olly 这是什么歌,zh-CN,zh-CN
275,music_query,music_query,歌手把这首歌命名为泡沫是什么意思啊,zh-CN,zh-CN
276,music_query,music_query,谁唱了那首歌爱你,zh-CN,zh-CN
277,weather_query,weather_query,北京天气怎么样啊,zh-CN,zh-CN
278,weather_query,weather_query,北京的天气怎么样,zh-CN,zh-CN
280,news_query,news_query,英国脱欧谈判进展如何,zh-CN,zh-CN
282,news_query,news_query,谁将赢得下一届法国选举,zh-CN,zh-CN
283,weather_query,weather_query,你觉得周天会出太阳吗,zh-CN,zh-CN
284,weather_query,weather_query,晚上下雨吗,zh-CN,zh-CN
285,weather_query,weather_query,明天会刮风吗,zh-CN,zh-CN
287,iot_hue_lightup,iot_hue_lightup,把沙发旁边的灯点亮,zh-CN,zh-CN
288,iot_hue_lightup,iot_hue_lightup,点亮,zh-CN,zh-CN
289,datetime_query,datetime_query,现在莫斯科几点了,zh-CN,zh-CN
291,iot_cleaning,iot_cleaning,帮厨房吸尘,zh-CN,zh-CN
293,news_query,news_query,世界上有什么事正在发生,zh-CN,zh-CN
294,news_query,news_query,告诉我这个消息,zh-CN,zh-CN
300,weather_query,weather_query,今天预报啥情况,zh-CN,zh-CN
301,weather_query,weather_query,天气看起来怎样,zh-CN,zh-CN
302,general_quirky,general_quirky,嗨你在干什么,zh-CN,zh-CN
303,general_greet,general_greet,你好吗,zh-CN,zh-CN
304,general_greet,general_greet,早上好怎么了,zh-CN,zh-CN
305,takeaway_order,takeaway_order,从必胜客点一个比萨,zh-CN,zh-CN
306,takeaway_order,takeaway_order,我想吃寿司你能帮我点个午饭吗,zh-CN,zh-CN
307,takeaway_order,takeaway_order,艾利克斯我想吃寿司请帮我点午餐,zh-CN,zh-CN
308,takeaway_order,takeaway_order,从意大利餐馆点一份三明治和汤外卖,zh-CN,zh-CN
309,datetime_query,datetime_query,今年剩下几天了,zh-CN,zh-CN
313,iot_hue_lightup,iot_hue_lightup,将亮度提高两成,zh-CN,zh-CN
314,iot_hue_lightup,iot_hue_lightup,把灯光开到最亮,zh-CN,zh-CN
316,audio_volume_mute,audio_volume_mute,静音,zh-CN,zh-CN
320,weather_query,weather_query,明天我该带把伞吗,zh-CN,zh-CN
323,iot_wemo_on,iot_wemo_on,打开智能充电器,zh-CN,zh-CN
324,news_query,news_query,告诉我科技日报的技术新闻,zh-CN,zh-CN
325,weather_query,weather_query,快乐,zh-CN,zh-CN
326,weather_query,weather_query,晚上,zh-CN,zh-CN
327,weather_query,weather_query,周日,zh-CN,zh-CN
330,audio_volume_down,audio_volume_down,安静些,zh-CN,zh-CN
332,audio_volume_mute,audio_volume_mute,安静,zh-CN,zh-CN
335,weather_query,weather_query,我想知道上海的天气,zh-CN,zh-CN
336,weather_query,weather_query,四川省在下雪吗,zh-CN,zh-CN
339,iot_coffee,iot_coffee,我现在需要一杯咖啡,zh-CN,zh-CN
340,iot_coffee,iot_coffee,今天,zh-CN,zh-CN
341,iot_coffee,iot_coffee,启动咖啡机,zh-CN,zh-CN
342,iot_coffee,iot_coffee,立即准备一杯咖啡,zh-CN,zh-CN
343,weather_query,weather_query,明天天气如何啊,zh-CN,zh-CN
347,weather_query,weather_query,明天的天气预测怎么样,zh-CN,zh-CN
349,weather_query,weather_query,明天下雪吗,zh-CN,zh-CN
350,takeaway_query,takeaway_query,看看这家饭馆是否有外卖,zh-CN,zh-CN
351,takeaway_query,takeaway_query,餐馆外卖,zh-CN,zh-CN
352,takeaway_query,takeaway_query,餐厅有外卖菜单吗,zh-CN,zh-CN
354,datetime_query,datetime_query,三月二十九日是星期几,zh-CN,zh-CN
356,alarm_query,alarm_query,我下个闹钟是啥,zh-CN,zh-CN
357,alarm_query,alarm_query,告诉我有哪些闹钟,zh-CN,zh-CN
358,alarm_query,alarm_query,今天我的闹钟几点响啊,zh-CN,zh-CN
359,datetime_query,datetime_query,能告诉我现在的时间吗,zh-CN,zh-CN
361,play_music,play_music,播放谷歌播放列表音乐的曲目八,zh-CN,zh-CN
363,play_music,play_music,从我的播放列表中随机播放一首歌曲,zh-CN,zh-CN
364,datetime_query,datetime_query,今天的日期是什么,zh-CN,zh-CN
367,news_query,news_query,新闻里有什么消息,zh-CN,zh-CN
370,iot_hue_lightoff,iot_hue_lightoff,我想关掉灯你能帮我做吗,zh-CN,zh-CN
374,weather_query,weather_query,告诉我以下关于天气的说法是否正确,zh-CN,zh-CN
376,weather_query,weather_query,查一下 weather app 看看是不是,zh-CN,zh-CN
377,music_likeness,music_likeness,可以在我的播放列表中保存这些音乐吗,zh-CN,zh-CN
378,music_likeness,music_likeness,你把这些音乐保存起来怎么样,zh-CN,zh-CN
380,play_music,play_music,清播放骚动乐团的游戏,zh-CN,zh-CN
381,play_music,play_music,请打开我的音乐应用程序并播放朴树的平凡之路,zh-CN,zh-CN
382,play_music,play_music,请播放王菲的传奇这首歌曲,zh-CN,zh-CN
383,iot_hue_lightoff,iot_hue_lightoff,关掉车库的灯,zh-CN,zh-CN
384,news_query,news_query,查看印度时报的热门的新闻,zh-CN,zh-CN
386,news_query,news_query,中青在线有任何死亡新闻吗,zh-CN,zh-CN
390,iot_wemo_on,iot_wemo_on,开关智能插头插座,zh-CN,zh-CN
394,datetime_convert,datetime_convert,如果现在广东是中午那么云南是几点,zh-CN,zh-CN
395,datetime_convert,datetime_convert,中国时间和太平洋时间相差几小时,zh-CN,zh-CN
396,play_music,play_music,播放飞轮海的只对你有感觉,zh-CN,zh-CN
398,weather_query,weather_query,明天暖和吗,zh-CN,zh-CN
401,play_music,play_music,请播放音乐,zh-CN,zh-CN
402,iot_hue_lightchange,iot_hue_lightchange,你能改变房子里的灯光颜色吗,zh-CN,zh-CN
403,iot_hue_lightchange,iot_hue_lightchange,你能把房子里灯光色调随机播放吗,zh-CN,zh-CN
404,iot_hue_lightchange,iot_hue_lightchange,你能把房子里的灯改变成昏暗的颜色吗,zh-CN,zh-CN
408,alarm_query,alarm_query,我都定哪些闹钟了啊,zh-CN,zh-CN
409,alarm_query,alarm_query,说一下我有哪些闹钟,zh-CN,zh-CN
410,alarm_query,alarm_query,我的闹钟都设在了几点啊,zh-CN,zh-CN
413,iot_hue_lightchange,iot_hue_lightchange,把我房间的灯改成蓝色,zh-CN,zh-CN
414,iot_hue_lightchange,iot_hue_lightchange,把我房间的灯改成一些浪漫的颜色,zh-CN,zh-CN
416,alarm_set,alarm_set,给我定个八点的闹钟,zh-CN,zh-CN
417,alarm_set,alarm_set,定个下午四点的闹钟,zh-CN,zh-CN
418,alarm_set,alarm_set,给我定个八点四十五的叫醒闹钟,zh-CN,zh-CN
422,news_query,news_query,有什么最新消息,zh-CN,zh-CN
425,news_query,news_query,什么是最受关注的的消息,zh-CN,zh-CN
429,iot_hue_lightoff,iot_hue_lightoff,关掉浴室的灯,zh-CN,zh-CN
